ID,City Name,Country,Date,MaxTemp,Humidity,lat,lng,Cloudiness,Wind_Speed,Formatted Date
1006984,East London,ZA,1595731166,71.04,30,-33.02,27.91,0,12.77,2020-07-25
3137469,Sørland,NO,1595731166,53.22,88,67.67,12.69,100,8.23,2020-07-25
2194098,Ahipara,NZ,1595731166,57.88,66,-35.17,173.17,58,8.39,2020-07-25
2091996,Madang,PG,1595731166,85.98,68,-5.22,145.8,100,6.64,2020-07-25
2264557,Ponta do Sol,PT,1595731166,66,77,32.67,-17.1,0,3.71,2020-07-25
7082481,Khuzdar,PK,1595731167,85.08,42,27.74,66.64,41,3.53,2020-07-25
1651531,Ambon City,ID,1595731167,84.2,74,-3.7,128.18,75,8.05,2020-07-25
3163962,Volterra,IT,1595731167,71.01,38,43.4,10.86,47,1.77,2020-07-25
3868626,Valparaíso,CL,1595731167,52,59,-33.04,-71.63,71,14.81,2020-07-25
293842,Kiryat Gat,IL,1595731167,75.99,62,31.61,34.76,0,1.45,2020-07-25
512570,Parfino,RU,1595731167,53.98,97,57.97,31.65,26,2.01,2020-07-25
2017487,Raychikhinsk,RU,1595731167,78.33,74,49.78,129.41,60,4.88,2020-07-25
2171099,Codrington,AU,1595731168,54.28,65,-38.27,141.97,33,0.89,2020-07-25
2930596,Emden,DE,1595731168,63,94,53.37,7.22,100,7,2020-07-25
2520645,Cabra,ES,1595731168,80.01,45,37.47,-4.44,0,1.95,2020-07-25
1856068,Nago,JP,1595731168,84,88,26.59,127.98,40,8.05,2020-07-25
552568,Kardailovo,RU,1595731168,64.06,70,51.54,53.9,24,8.1,2020-07-25
4047434,Russell,US,1595731168,73.4,88,32.35,-85.2,75,4.7,2020-07-25
4018700,Altar,MX,1595731168,89.01,46,30.7,-111.82,20,5.01,2020-07-25
3374083,Bathsheba,BB,1595731168,82.4,78,13.22,-59.52,40,16.11,2020-07-25
1513491,Yangi Marg`ilon,UZ,1595731168,78.8,47,40.43,71.72,26,6.93,2020-07-25
215527,Kabinda,CD,1595731169,63.43,42,-6.13,24.48,62,3.69,2020-07-25
3128760,Barcelona,ES,1595731143,78.01,83,41.39,2.16,20,4.7,2020-07-25
2421273,Faranah,GN,1595731169,69.67,97,10.04,-10.74,100,5.66,2020-07-25
6316343,Alta Floresta,BR,1595731169,71.85,55,-9.88,-56.09,0,2.91,2020-07-25
2173911,Broken Hill,AU,1595731169,55.4,58,-31.95,141.43,0,12.75,2020-07-25
2236967,Soyo,AO,1595731169,70.61,86,-6.13,12.37,52,5.37,2020-07-25
1687894,Santa Rosa,PH,1595731169,87.8,66,14.31,121.11,95,1.12,2020-07-25
933995,Souillac,MU,1595731169,69.8,60,-20.52,57.52,75,13.87,2020-07-25
1529376,Korla,CN,1595731169,88.02,22,41.76,86.15,0,5.68,2020-07-25
2175403,Blackwater,AU,1595731169,72.34,41,-23.58,148.88,51,12.28,2020-07-25
6089245,Norman Wells,CA,1595731170,75.2,36,65.28,-126.83,75,4.7,2020-07-25
2240449,Luanda,AO,1595731170,71.6,88,-8.84,13.23,75,1.12,2020-07-25
2126682,Bilibino,RU,1595731170,81.64,36,68.05,166.44,30,10.27,2020-07-25
2126785,Belaya Gora,RU,1595731170,94.23,21,68.53,146.42,90,10.29,2020-07-25
1855342,Nishihara,JP,1595731170,86,88,26.18,127.76,75,9.17,2020-07-25
1244926,Hambantota,LK,1595731170,77,100,6.12,81.12,90,4.7,2020-07-25
1855540,Naze,JP,1595731170,84.2,94,28.37,129.48,75,12.75,2020-07-25
336454,Ginir,ET,1595731171,55.45,90,7.13,40.7,29,12.08,2020-07-25
3430863,Mar del Plata,AR,1595731017,46,87,-38,-57.56,100,16.11,2020-07-25
4031742,Egvekinot,RU,1595731171,58.14,67,66.32,-179.17,32,6.51,2020-07-25
3388847,São Félix do Xingu,BR,1595731171,71.02,55,-6.64,-51.99,0,1.92,2020-07-25
2132606,Samarai,PG,1595731171,79.29,87,-10.62,150.67,98,16.87,2020-07-25
1786640,Chengzhong,CN,1595731171,78.8,88,30.95,113.55,40,2.24,2020-07-25
1651103,Atambua,ID,1595731171,82.36,47,-9.11,124.89,76,3.53,2020-07-25
4938048,Grafton,US,1595731171,73.4,64,42.21,-71.69,1,5.82,2020-07-25
6050066,La Ronge,CA,1595731172,57.2,93,55.1,-105.28,75,5.82,2020-07-25
6111862,Port Hardy,CA,1595731172,64.4,63,50.7,-127.42,20,9.17,2020-07-25
3423146,Ilulissat,GL,1595731172,44.6,93,69.22,-51.1,100,10.29,2020-07-25
5557293,Sitka,US,1595731172,57.2,93,57.05,-135.33,90,5.82,2020-07-25
6323121,Florianópolis,BR,1595731172,59,67,-27.61,-48.5,75,3.36,2020-07-25
1139715,Jalalabad,AF,1595731172,86,66,34.43,70.45,40,3.36,2020-07-25
3939168,Huarmey,PE,1595731172,60.04,86,-10.07,-78.15,23,7.63,2020-07-25
2112309,Katsuura,JP,1595731172,88,74,35.13,140.3,40,11.41,2020-07-25
2654970,Brae,GB,1595731172,53.6,93,60.4,-1.35,100,10.29,2020-07-25
4031574,Provideniya,RU,1595731173,58.06,62,64.38,-173.3,64,7.63,2020-07-25
2090021,Namatanai,PG,1595731173,85.93,67,-3.67,152.43,65,8.86,2020-07-25
4004293,Ixtapa,MX,1595731173,84.2,79,20.7,-105.2,90,6.93,2020-07-25
3395062,Maués,BR,1595731173,78.01,65,-3.38,-57.72,42,1.52,2020-07-25
2156643,Mount Gambier,AU,1595731173,50,87,-37.83,140.77,67,2.24,2020-07-25
2610343,Vestmanna,FO,1595731173,51.8,81,62.16,-7.17,100,19.46,2020-07-25
1150965,Ranong,TH,1595731173,84.2,94,9.97,98.63,20,2.46,2020-07-25
3380290,Sinnamary,GF,1595731173,78.19,86,5.38,-52.95,57,9.6,2020-07-25
1651810,Airai,TL,1595731173,72.05,51,-8.93,125.41,60,5.48,2020-07-25
3946820,Barranca,PE,1595730874,57.9,91,-10.75,-77.77,33,5.12,2020-07-25
2119283,Zyryanka,RU,1595731174,92.01,27,65.75,150.85,0,16.46,2020-07-25
6454920,Grasse,FR,1595731174,66.2,82,43.67,6.92,7,3.36,2020-07-25
5962442,Goderich,CA,1595731174,73.99,62,43.75,-81.72,87,12.68,2020-07-25
5879400,Anchorage,US,1595731174,64.4,45,61.22,-149.9,40,9.17,2020-07-25
3452179,Quaraí,BR,1595731174,42.98,81,-30.39,-56.45,0,1.81,2020-07-25
3893629,Coquimbo,CL,1595731174,53.6,81,-29.95,-71.34,100,2.24,2020-07-25
3466165,Cidreira,BR,1595731174,50.68,71,-30.18,-50.21,31,11.45,2020-07-25
3412093,Vestmannaeyjar,IS,1595731174,51.19,79,63.44,-20.27,100,2.1,2020-07-25
5110365,Broome,US,1595731175,73.4,69,42.25,-75.83,1,5.82,2020-07-25
149070,Utete,TZ,1595731175,66.04,88,-7.99,38.76,63,2.04,2020-07-25
2246901,Oussouye,SN,1595731175,78.8,94,12.48,-16.55,20,8.32,2020-07-25
1528796,At-Bashi,KG,1595731175,71.15,31,41.17,75.81,11,1.16,2020-07-25
4560349,Philadelphia,US,1595730998,81,74,39.95,-75.16,40,5.82,2020-07-25
525426,Sobolevo,RU,1595731175,55.33,95,54.43,31.9,7,5.91,2020-07-25
6355222,Yulara,AU,1595731175,60.8,44,-25.24,130.99,0,5.82,2020-07-25
5044290,Saint Anthony,US,1595731175,82.4,83,45.02,-93.22,75,8.05,2020-07-25
1794794,Shouguang,CN,1595731175,75.99,78,36.88,118.74,100,9.46,2020-07-25
2092164,Lorengau,PG,1595731176,83.25,75,-2.02,147.27,100,15.86,2020-07-25
1528998,Yumen,CN,1595731176,82.56,18,40.28,97.2,0,3.04,2020-07-25
