ID,Country,MaxTemp,Humidity,lat,lng,Cloudiness,Wind_Speed
3414079,IS,282.99,70,64.89,-23.71,100,0.04
5391295,US,288.15,87,36.68,-121.66,90,1.5
2173323,AU,288.71,93,-24.85,152.35,90,4.6
2180815,NZ,277.04,83,-46.13,167.68,78,1.34
7671223,PW,299.15,88,7.04,134.26,75,3.89
2274895,LR,301.15,78,6.3,-10.8,75,3.1
3381428,GF,299.62,80,5.48,-53.2,72,2.4
366444,SS,298.36,88,5.6,27.47,92,2.36
6148373,CA,286.15,87,50.1,-91.92,20,1.5
3182722,IT,305.15,38,43.07,12.62,0,3.6
605155,SE,283.15,81,67.86,20.23,98,6.2
2026895,RU,294.12,54,50.92,128.46,54,1.91
6165406,CA,284.15,87,55.74,-97.86,20,2.23
1737486,MY,302.15,83,3.17,113.03,20,1.5
2192362,NZ,278.71,86,-43.53,172.63,0,1.5
2030065,MN,302.11,21,45.76,106.27,100,3.58
60019,SO,304.74,43,7.98,49.82,95,12.41
2110227,KI,301.45,78,3.07,172.79,56,6.61
245338,TD,302.74,64,11.03,20.28,98,2.25
370737,SS,296.56,91,9.53,31.66,100,2.46
3489854,JM,301.15,69,18,-76.79,20,3.6
5855051,US,298.15,88,21.32,-158.01,1,2.55
4031742,RU,282.73,67,66.32,-179.17,60,1.28
1172888,PK,312.7,34,28.55,70.47,54,1.34
2377457,MR,300.15,65,20.93,-17.03,13,3.1
2239862,AO,297.15,69,-9.54,16.34,75,3.6
2293260,CI,301.17,65,7.13,-3.2,95,1.76
2225457,CM,298.72,68,4.68,12.37,100,1.53
3985710,MX,299.82,58,22.89,-109.91,2,5
653272,FI,293.21,75,66.71,27.43,100,1.21
3691582,PE,290.5,84,-4.58,-81.27,90,6.8
2121385,RU,282.82,89,50.68,156.12,32,2.53
115019,IR,310.15,4,29.6,52.54,20,4.1
1181611,PK,310.42,10,30.92,66.45,5,5.25
4166195,US,298.15,100,26.67,-81.88,1,2.6
3444201,BO,296.69,43,-17.78,-57.77,51,0.96
3421719,GL,292.15,22,60.92,-46.05,40,13.4
6167817,CA,293.15,72,47.67,-52.73,40,8.2
5742974,US,288.15,100,43.41,-124.22,90,3.1
